product_name,brand,categories,primary_category,rating,review_text,review_title,recommended,helpful_votes,username,sentiment,label
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,i love all of them. i would recommend going to best buy and buying a kindle fire before they are sold out!,I have 3 kindle fires,True,0,ericandlisa,positive,0
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,Computers/Tablets & Networking,Electronics,5,bigger screen than my iphone allots for easier viewing. so easy to use. i wouldn't go anywhere without my kindle!,love my kindle,True,0,CsMe,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,5,great learning tool. kids love it and so do i. so fun to share time with the kids laughing while learning.,Great,True,0,Ladybug,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,5,"it is great if you are a prime member , case is durable!",kids love it,True,0,Jc2221,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,"this was a gift that i gave to my daughter at our family christmas party. she loves it, especially the ease of set up and the attached hub so she can control her lights & her nest thermostat. this has also gone over well with the grand children.",Daughters Christmas Gift,True,0,BillyC,positive,0
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,Amazon Echo,Electronics,5,happy i bought this. makes everything easier to control.,Use it every day.,True,0,eddylaura,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,5,"i love my amazon fire hd 8. it's not too small and not too big. i was looking at other tablets, and decided on the amazon fire hd 8 because of the price, and because i have amazon prime, i purchased it online at best buy, and then picked it up at the store on black friday. it is my first tablet, and so i wanted to start with one that i can have fun with, and i am. i do have a laptop for important things.",First Tablet,True,1,Elise57,positive,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,5,"this product is significantly improved over my previously owned first generation kindle and first generation fire. the resolution is better, the programmable features are more numerous and the response is quicker.",Significantly improved,True,0,Will42,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon,Fire Tablets,Electronics,5,"young kids love it, easy to use and takes a beating but still cheap enough that if it does happen to break you don't break the bank too",Great,True,0,Nikvt,positive,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Computers,Electronics,5,"this is great. the entire family is using it. son⊙s are using it for it music, husband for appointments, me for just about everything. it⊙s useful and fun.",Awesome amazon Alexa. Great for entire family.,True,0,Chris,positive,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Computers,Electronics,5,"i was against getting something in my house like this being skeptical about hackers watching thru the device. however, this is the greatest thing since sliced bread! it can do just about everything! and the sound is fantastic when steaming music! being able to change the dish network channel by saying it is so convenient while hands are in the flour (for ex.)! access to information is endless and immediate with her replies! we love it!",Better than expected,True,0,Pootoos,positive,0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Amazon,Fire Tablets,Electronics,4,i love this tablet. i purchased them for gift and am so glad i did!,PERFECT!,True,0,Lng10,positive,0
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,Computers/Tablets & Networking,Electronics,3,"great for first time tablet, but more advanced options available",Okay,False,0,Leroi7,neutral,1
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon,Fire Tablets,Electronics,4,amazon free time great for small kids to get entertained,Great for kids,True,0,Garcia24,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,4,"love this tablet for streaming, facebook, games and general web surfing. the apps are available on the amazon underground, not google playstore, so some apps that you may be used to using, may not be available on amazon underground. overall, great tablet for the price. would recommend.",Great for entertainment,True,0,Jslu,positive,0
"Amazon - Kindle Voyage - 6"" - 4GB - Black",Amazon,eBook Readers,Electronics,4,"i have an old kindle touch, the last one that still had text-to-voice, which no longer works. i decided to upgrade, started reading the reviews, was enticed by the the kindle voyage and took the plunge. the voyage is pretty and sleek, with neat features, and i enjoyed using it for a few days, but my frugal self just couldn't justify the price difference between it and the paperwhite. while the ambient light sensor was nice, i often ended up just adjusting it manually because it was still a little bright in a completely dark room. i made more errors of turning a page than i meant to with the ""page turn"" because of where the page turn spots are located, plus, i'm in the habit of flipping pages on the phone or a tablet, so i kept swiping despite the availability of page turn. however, the clarity of the screen, the quality of the light, the form factor, the weight and the way it felt in my hand while reading were all very nice. nonetheless, the price difference bothered me enough to return it and get the paperwhite. the thing i miss most about the voyage is the quality of the light, and how even the lighting is on it. the unit i had did not have blank spots or a yellowish top half of the page, or any of the lighting issues some reviewers mentioned with the voyage. i purchased the newest model of the paperwhite and i like it, but the lighting appears pretty dingy. however, it's only when they're compared side-to-side that i wished i wasn't so cost conscious. if money is not an object, i'd say get the kindle voyage, if it is, the paperwhite is a fine little reader, and overall i'm happy i have it.",Loved the device but not the price,True,0,AmoM,positive,0
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,Amazon Echo,Electronics,4,if you want to listen to music you will have to sign for amazon unlimited or prime which is very expensive. pandora does not work too well with this device as it does with google home.,Great product but requires Amazon membership...,True,0,Neeko,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,my home is about 80% automated with help from alexa...we want to have one in each room.,Awesome ALEXA,True,0,GlenInPTC,positive,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Computers,Electronics,5,a great addition to our home. kids love it and is vary helpful,Awesome!,True,0,GoBlue,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,love it. never had one before. easy to set up and use.,My personal secretary,True,0,Drrdh,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,3,"i bought 2 of these tablets for my two youngest children. they had a lot of options to chose from as far as children apps go, but they were already familiar with the ipad since they stole mine all the time. lol. that made it hard for them as well as myself to figure out how to use at first. besides that, it's a good product.",Kind of complicated,True,0,Mike,neutral,1
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,4,this was a perfect tablet for my 12 year old. it does everything that she needed it to.,Great!,True,0,Stevesim,positive,0
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,Computers/Tablets & Networking,Electronics,5,upgraded; easy to use; thinner; very happy with it.,Kindle Fire 7,True,0,Papaw,positive,0
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,Amazon Echo,Electronics,2,"this is fun but would not buy again. not very informative. keeps say ""i do not understand your question. """,A little fun but not very useful,False,0,tinkerbell2,negative,2
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,i had the previous model which was fine for reading but a little slow for other things. the extra .5 ram makes a difference. very happy and if you're a prime member there are lots of freebies!,"Great Tablet, unbelievable price",True,0,malabrot,positive,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,5,i bought this for my kids its a cheap alternative to an ipad mini and should they lose it or break it its easy to replace with little out of pocket.,Great Alternative to Ipad,True,0,Bandit78,positive,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Computers,Electronics,5,we bought the amazon echo show for my dad. we set up accounts for him to access music and pictures and wrote down a sample list of commands he could use. he loves it. excellent product. no end to the features you can set up.,Excellent Product and lot's of fun.,True,0,WallyWorld,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,4,"this was bought to replace my old kindle with keypad, and experimental internet. was surprised how much the kindle had changed, and at the same price as my old one was when i bought it!have already shown it to a couple of friends who now say they are thinking about getting one.",Great picture quality,True,0,Janet,positive,0
Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,Computers & Accessories,Electronics,5,best kindle charger ever. took 30 minutes to being my kindle back to life.,Amazon powerfast wall charger,True,0,Pat91,positive,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,5,so easy to use super clear can't. beat the price all around great buy,Awsome,True,0,Chase,positive,0
"Amazon - Kindle Voyage - 6"" - 4GB - Black",Amazon,eBook Readers,Electronics,5,this kindle has easier viewing and the light adjustment is great.,We bought it for our son and he loves it.,True,0,Tamousku,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,5,great way to get kids introduced to using a tablet. a ton of free software is available. guarantee seals the deal.,Great educational tool for kids,True,0,Revuit,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon,Fire Tablets,Electronics,3,"it has great durability, but lacks great sound. the picture quality is just ok",Beginner tablet,True,0,Hawknbyrd,neutral,1
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,perfect start for smart home.works perfect with echo,Best smart item,True,0,RaySeattle,positive,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Computers,Electronics,5,this amazon echo show is great for room monitoring. it was priced well and i find it useful.,Wealth of knowledge,True,0,Greg,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,"nice and compact, great sound, easy to use, love it.",great product,True,0,rick,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,like this so much bought another one for my daughter.,Awesome tablet!!,True,0,2k4k,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,4,bought for grand daughter for xmas since most 5 year olds now a lot about tablets and had no problem with this very easy to use.,ease of use,True,0,botno,positive,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Computers,Electronics,5,love the alexa a.i. better than apple and google versions. the screen gives even more points because you can see all of alexa⊙s responses as well as video call. awesome,Whole new level,True,0,MrsO,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,4,my 8 year old loves this so much to do on it. she enjoys reading on it play games .,Great price,True,0,Sheri,positive,0
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,Amazon Echo,Electronics,4,"amazon tap pretty much works as advertised, and understand that the product will evolve with system updates. love how the weather, traffic, movies and sports scores/schedules are answered quickly and effortlessly. this was an excellent gift as i gave it to both my son and daughter and my son, unknowingly gave we a tap back as well. can't wait to see what improvements are made with the updates coming","works well, needs alittle more depth in searching",True,0,Slamajama,positive,0
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,Computers/Tablets & Networking,Electronics,5,"i bought two of these, one for my son and the other for nephew, they love it. i downloaded kidsmode on it and all their educational games they can play besides regular games.",Great & Easy to Use.,True,0,Sparkle,positive,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Amazon Echo,Electronics,4,"this has quickly become one of the most used at the kitchen counter! if you have alexa an you like it, a must have upgrade.",Hello Home Auto...,True,0,00JK,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,this is a superb tablet for the price. it doesn't come with the android operating system. it has amazon's operating system. the battery last a good long time and apps run very fast. i would recommend this to anyone who wants a tablet.,Great tablet at a great price,True,0,Mike,positive,0
"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",Amazon,eBook Readers,Office Supplies,3,it is great for a bigger picture but runs really slow.,Kindle fire 10 inch,False,0,Dottie,neutral,1
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,the device is a good item and i really recommend to everyone,It was good,True,0,Danny,positive,0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",Amazon,Fire Tablets,Electronics,4,i love my kindle fire. its a great reading device.,Great reading device,True,0,Kindle,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,"this amazon echo is the coolest gadget you can buy, it is very smart and learns very fast. it runs many items in our home ie nest, lg tv, lights",GREAT BUY,True,0,Bill,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,we have sonos speakers and a honeywell lyric thermostat. it took a little searching on google to get things linked. now that they are linked we can play music in any room and change our home temperature by using alexa.,Alexa is fun to use.,True,0,Neil,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,great tablet for price. display is clear. enjoy books on tablet.,Great Tablet,True,0,Joey,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,5,"i purchased this for my 4 and 2 year old grandchildren. they were using parents phones and running the battery down. now they have their own device and can watch their cartoons and play games. love the case, it makes it easy for little hands to hold on to. overall very good purchase.",Great device for my grandchildren,True,0,Sass2050,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,"great for reading e-mail, pictures or viewing internet.",Fantastic for light internet access.,True,0,Billy,positive,0
"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers",Amazon,Tablets,Electronics,5,"the apps are better, it charges faster and the camera is really neat!",Better than before!,True,0,thatwasfun,positive,0
"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers",Amazon,Tablets,Electronics,5,i've bought several kindles for my grandkids they all enjoy them we use it for the library and download into overdrive and there are so many free games kids love this,Kindle for grandchild,True,0,Peggy,positive,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,5,we've had this tablet for about a month and have no complaints. great tablet for a kid with lots of storage for games!,Great tablet,True,0,Heather,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,i have an amazon prime account so i started downloading apps and playing all kinds of music on this. i also can control my hue hub (you need one for certain timers and things) and wemo plus outlets for my non wifi lights and led's in the kitchen cabinets.,GREAT sound and versatile,True,2,rochester,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,5,this is a great tablet for children and really has an easy to use format. the apps work well and keep the kid entertained by not distracting them with the mechanics.,Excellent for kids,True,0,Pewdewiepie,positive,0
"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers",Amazon,Tablets,Electronics,5,"got it for the kids and they love it. i am also a prime member as well there are so many great things for members, movies, apps, games and shows that are free. if you are looking for a simple tablet to help occupy some free time look into one.",They love it,True,1,rpspider,positive,0
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,Computers/Tablets & Networking,Electronics,4,"the commercials are correct, at this price you can have multiple devices in your household for the price of a comparable competitor's tablet.",Unbelievable Value,True,0,pemcc72,positive,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,5,very satisfied. price was great. the curved screen is nice but i believe you get more tv with straight screen. i believe it is just a viewers choice. we have a sound system so i can't speak about the sound.,Great color,True,0,Rick,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,4,i am very pleased with my purchase the tablet is a great project is there a product is very versatile,Good product,True,0,James,positive,0
"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,Kindle E-readers,Electronics,5,this is my 4th kindle and is easily the best one i've ever had. it is very comfortable to hold and is very compact. i was surprised how small it is but has the same screen size as my other kindles. it may look costly at first but remember you are getting a cover with additional battery.,Best kindle yet,True,5,somileo,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,this alexa series 2 sounds better and preforms better than the previous model. it picks up the voices 10x better and the sound quality is on a bose level(fills the whole room). me and my family spends more quality time on the product!,Excellent product,True,0,Scott,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,5,my granddaughter loves this tablet. perfect for a 5 year old,Love it for children,True,0,Trailblaze,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,love how loud it get. shes prefect for everything i need.,Sound is awesome,True,0,Dink,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,"a viable substitute for the more expensive i pad especially for kids wanting a tablet. you can download books, games, email and access the internet. parental controls are easily enabled.",Great tablet for the price.,True,0,DynaMan,positive,0
Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,Amazon,Computers & Tablets,Electronics,4,the back light nad easier to read in all lightings,better than my old ereader,True,1,Rosie,positive,0
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,Computers/Tablets & Networking,Electronics,5,i like this tablet very much except that they have a game or app one has to clear before one gets to the main screen. other than that the battery lasts a long time and its compact and easy to use.,Fire Tablet,True,0,Retired210,positive,0
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,Computers/Tablets & Networking,Electronics,4,i love this tablet. works great for my needs. ebooks facebook light gaming. internet is a little slow but it's $40 what can i say. i installed google chrome for more apps.,Great cheap tablet,True,0,Debra,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",Amazon,Tablets,Electronics,5,"i have one, purchased this one for my mother in law, she had a 7 inch, between the bigger screen and hd, this one is much easier on her eyes and she can use it for longer periods of time without her eyes bothering her.",HD makes big difference,True,0,Roseyj,positive,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Computers,Electronics,5,"the echo show is a version of alexa with ability to visualize things. when i was cooking dinner and wanted to finish a show, i was able to ask alexa to play the show from my amazon prime account. the show was in my kitchen, easy to view, and enabled my kids to watch cartoons in the living room. i love it!",Super fun version of Alexa,True,0,Khowey,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,we have one for each of my children so i bought this one for my mother. they are amazing tablets especially for the price!,Amazing deal!,True,0,JTShep,positive,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,4,"this is a great entry tablet, if you do not want to dish out a few hundred dollars you should look into a fire table.",Great tablet,True,0,Edward,positive,0
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,Amazon Echo,Electronics,5,we love our amazon echo but it is hard wired to kitchen. because of where we live am reception is poor but through an echo or amazon tap i can listen to some of my favorite stations through iheart radio and the tap is portable.,Perfect companion for Amazon Echo,True,2,B6W356,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,the amazon-fire is an inexpensive wifi device we use for answering messages and is quickly shifted from person to person as well as moved from room to room.,Good Tool,True,0,photodude,positive,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,5,very happy with the hd fire 16gb. plenty of memory and easy to navigate. i would definitely recommend this item.,Great tablet for reading and everything else,True,3,AnnieBananie,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,4,"good stereo sound, but will not control some devices without the use of an external hub.",Good alexa device,True,0,Clint,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,5,"bought for xmass for my wife. she is not electronic competent, but found is easy to use.",Very good,True,0,Kobe,positive,0
